station,date,datatype,value
"GHCND:USC00365790","1970-01-13","PRCP",0
"GHCND:USC00368449","1970-01-13","PRCP",0
"GHCND:USC00368449","1970-01-13","TMAX",-1.7
"GHCND:USC00368449","1970-01-13","TMIN",-7.2
"GHCND:USW00014761","1970-01-13","PRCP",.8
"GHCND:USW00014761","1970-01-13","TMAX",-4.4
"GHCND:USW00014761","1970-01-13","TMIN",-7.8
"GHCND:USC00360530","1970-01-14","PRCP",0
"GHCND:USC00360530","1970-01-14","TMAX",-3.9
"GHCND:USC00360530","1970-01-14","TMIN",-11.7
"GHCND:USC00361480","1970-01-14","PRCP",.5
"GHCND:USC00364450","1970-01-14","PRCP",0
"GHCND:USC00364450","1970-01-14","TMAX",-3.9
"GHCND:USC00364450","1970-01-14","TMIN",-21.7
"GHCND:USC00365790","1970-01-14","PRCP",0
"GHCND:USC00368449","1970-01-14","PRCP",0
"GHCND:USC00368449","1970-01-14","TMAX",-3.9
"GHCND:USC00368449","1970-01-14","TMIN",-11.1
"GHCND:USW00014761","1970-01-14","PRCP",0
"GHCND:USW00014761","1970-01-14","TMAX",-7.8
"GHCND:USW00014761","1970-01-14","TMIN",-17.8
"GHCND:USC00360530","1970-01-15","PRCP",0
"GHCND:USC00360530","1970-01-15","TMAX",-5.6
"GHCND:USC00360530","1970-01-15","TMIN",-18.9
"GHCND:USC00361480","1970-01-15","PRCP",0
"GHCND:USC00364450","1970-01-15","PRCP",0
"GHCND:USC00364450","1970-01-15","TMAX",-6.1
"GHCND:USC00364450","1970-01-15","TMIN",-24.4
"GHCND:USC00365790","1970-01-15","PRCP",0
"GHCND:USC00368449","1970-01-15","PRCP",0
"GHCND:USC00368449","1970-01-15","TMAX",-4.4
"GHCND:USC00368449","1970-01-15","TMIN",-15
"GHCND:USW00014761","1970-01-15","PRCP",0
"GHCND:USW00014761","1970-01-15","TMAX",-2.8
"GHCND:USW00014761","1970-01-15","TMIN",-21.1
"GHCND:USC00360530","1970-01-16","PRCP",0
"GHCND:USC00360530","1970-01-16","TMAX",-5.6
"GHCND:USC00360530","1970-01-16","TMIN",-18.3
"GHCND:USC00361480","1970-01-16","PRCP",0
"GHCND:USC00364450","1970-01-16","PRCP",0
"GHCND:USC00364450","1970-01-16","TMAX",-5
"GHCND:USC00364450","1970-01-16","TMIN",-24.4
"GHCND:USC00365790","1970-01-16","PRCP",0
"GHCND:USC00368449","1970-01-16","PRCP",0
"GHCND:USC00368449","1970-01-16","TMAX",-4.4
"GHCND:USC00368449","1970-01-16","TMIN",-15
"GHCND:USW00014761","1970-01-16","PRCP",0
"GHCND:USW00014761","1970-01-16","TMAX",8.9
"GHCND:USW00014761","1970-01-16","TMIN",-14.4
"GHCND:USC00360530","1970-01-17","PRCP",0
"GHCND:USC00360530","1970-01-17","TMAX",5.6
"GHCND:USC00361480","1970-01-17","PRCP",0
"GHCND:USC00364450","1970-01-17","PRCP",0
"GHCND:USC00364450","1970-01-17","TMAX",2.8
"GHCND:USC00364450","1970-01-17","TMIN",-20.6
"GHCND:USC00365790","1970-01-17","PRCP",.8
"GHCND:USC00368449","1970-01-17","PRCP",0
"GHCND:USC00368449","1970-01-17","TMAX",5.6
"GHCND:USC00368449","1970-01-17","TMIN",-12.2
"GHCND:USW00014761","1970-01-17","PRCP",2
"GHCND:USW00014761","1970-01-17","TMAX",4.4
"GHCND:USW00014761","1970-01-17","TMIN",2.2
"GHCND:USC00360530","1970-01-18","PRCP",0
"GHCND:USC00361480","1970-01-18","PRCP",1
"GHCND:USC00364450","1970-01-18","PRCP",0
"GHCND:USC00364450","1970-01-18","TMAX",4.4
"GHCND:USC00364450","1970-01-18","TMIN",0
"GHCND:USC00365790","1970-01-18","PRCP",.3
"GHCND:USC00368449","1970-01-18","PRCP",.3
"GHCND:USC00368449","1970-01-18","TMAX",6.7
"GHCND:USC00368449","1970-01-18","TMIN",2.8
"GHCND:USW00014761","1970-01-18","PRCP",.5
"GHCND:USW00014761","1970-01-18","TMAX",3.3
"GHCND:USW00014761","1970-01-18","TMIN",-14.4
"GHCND:USC00360530","1970-01-19","PRCP",0
"GHCND:USC00360530","1970-01-19","TMIN",-17.2
"GHCND:USC00361480","1970-01-19","PRCP",0
"GHCND:USC00364450","1970-01-19","PRCP",1.3
"GHCND:USC00364450","1970-01-19","TMAX",1.1
"GHCND:USC00364450","1970-01-19","TMIN",-21.1
"GHCND:USC00365790","1970-01-19","PRCP",0
"GHCND:USC00368449","1970-01-19","PRCP",0
"GHCND:USC00368449","1970-01-19","TMAX",2.8
"GHCND:USC00368449","1970-01-19","TMIN",-15
"GHCND:USW00014761","1970-01-19","PRCP",.3
"GHCND:USW00014761","1970-01-19","TMAX",-9.4
"GHCND:USW00014761","1970-01-19","TMIN",-21.7
"GHCND:USC00360530","1970-01-20","PRCP",0
"GHCND:USC00360530","1970-01-20","TMAX",-8.3
"GHCND:USC00360530","1970-01-20","TMIN",-18.9
"GHCND:USC00361480","1970-01-20","PRCP",0
"GHCND:USC00364450","1970-01-20","PRCP",0
"GHCND:USC00364450","1970-01-20","TMAX",-7.2
"GHCND:USC00364450","1970-01-20","TMIN",-23.3
"GHCND:USC00365790","1970-01-20","PRCP",0
"GHCND:USC00368449","1970-01-20","PRCP",0
"GHCND:USC00368449","1970-01-20","TMAX",-6.1
"GHCND:USC00368449","1970-01-20","TMIN",-16.1
"GHCND:USW00014761","1970-01-20","PRCP",2.8
"GHCND:USW00014761","1970-01-20","TMAX",-11.1
"GHCND:USW00014761","1970-01-20","TMIN",-26.1
